word,meaning,tier_id,cefr_level
dominion,Lãnh thổ thống trị / Quyền lực,9,C2
throne,Ngai vàng,9,C2
evil,Tà ác,9,C2
tyrant,Kẻ bạo chúa,9,C2
reign,Triều đại trị vì / Trị vì,9,C2
curse,Lời nguyền,9,C2
doom,Sự diệt vong,9,C2
hellfire,Lửa địa ngục,9,C2
soul,Linh hồn,9,C2
malevolent,Độc ác / Hiểm ác,9,C2
abyss,Vực thẳm vô tận,9,C2
